YEAR,MO,DY,HR,SRAD,WS,TM,HU
2020,1,1,0,0.0,3.27,5.45,4.0
2020,1,1,1,0.0,3.21,5.08,3.93
2020,1,1,2,0.0,3.15,5.15,3.9
2020,1,1,3,0.0,3.17,5.14,3.86
2020,1,1,4,0.0,3.27,4.91,3.8
2020,1,1,5,0.0,3.45,4.42,3.73
2020,1,1,6,0.0,3.64,4.11,3.65
2020,1,1,7,70.6,4.67,5.75,3.6
2020,1,1,8,218.9,4.99,8.37,3.66
2020,1,1,9,365.65,5.16,12.12,3.97
2020,1,1,10,481.5,5.76,15.29,4.4
2020,1,1,11,484.5,5.56,17.46,4.76
2020,1,1,12,488.52,5.3,18.99,5.0
2020,1,1,13,440.88,5.1,19.69,5.13
2020,1,1,14,323.27,4.87,19.57,5.23
2020,1,1,15,181.02,4.55,18.68,5.33
2020,1,1,16,54.22,2.94,15.24,5.84
2020,1,1,17,0.0,3.43,11.95,5.49
2020,1,1,18,0.0,3.63,11.12,5.32
2020,1,1,19,0.0,3.73,10.38,5.25
2020,1,1,20,0.0,3.74,9.64,5.29
2020,1,1,21,0.0,3.65,8.94,5.46
2020,1,1,22,0.0,3.44,8.19,5.74
2020,1,1,23,0.0,3.21,7.41,6.05
2020,1,2,0,0.0,3.04,6.71,6.31
2020,1,2,1,0.0,2.97,6.16,6.5
2020,1,2,2,0.0,2.95,5.69,6.63
2020,1,2,3,0.0,2.87,5.56,6.68
2020,1,2,4,0.0,2.98,6.15,6.61
2020,1,2,5,0.0,3.69,6.68,6.46
2020,1,2,6,0.0,3.48,6.8,6.39
2020,1,2,7,53.38,3.44,7.45,6.34
2020,1,2,8,158.52,3.07,8.41,6.39
2020,1,2,9,224.98,3.68,11.18,6.61
2020,1,2,10,281.27,4.57,14.54,6.52
2020,1,2,11,253.57,4.68,16.58,6.39
2020,1,2,12,320.1,4.49,17.92,6.21
2020,1,2,13,342.23,4.13,18.59,6.09
2020,1,2,14,232.52,3.72,18.63,6.06
2020,1,2,15,136.12,3.51,17.98,6.06
2020,1,2,16,45.9,2.4,15.53,6.52
2020,1,2,17,0.0,2.8,12.58,6.28
2020,1,2,18,0.0,2.9,11.91,6.28
2020,1,2,19,0.0,2.9,11.31,6.33
2020,1,2,20,0.0,2.83,10.67,6.38
